,Avergare Distint Names,Current Distint Names,# MonteCarlo's Distint Names > Current Distint Names,# MonteCarlo's Distint Names < Current Distint Names,# MonteCarlo's Distint Names = Current Distint Names,P(MonteCarlo's Distint Names > Current Distint Names),P(MonteCarlo's Distint Names < Current Distint Names),P(MonteCarlo's Distint Names = Current Distint Names),Iterations
Secretaría General de Gobierno- TOP 10%,44.747044,47,35347,843800,120853,0.035347,0.8438,0.120853,1000000
Secretaría General de Gobierno- BOTTOM 90%,52.499399,50,837763,78410,83827,0.837763,0.07841,0.083827,1000000
Municipios de Ñuble- TOP 10%,115.708612,189,0,1000000,0,0.0,1.0,0.0,1000000
Municipios de Ñuble- BOTTOM 90%,187.99973,1262,0,1000000,0,0.0,1.0,0.0,1000000
La Mujer y Equidad de Género- TOP 10%,73.870925,80,15217,964596,20187,0.015217,0.964596,0.020187,1000000
La Mujer y Equidad de Género- BOTTOM 90%,86.587503,89,186843,713646,99511,0.186843,0.713646,0.099511,1000000
Energía- TOP 10%,71.567485,76,25050,934099,40851,0.02505,0.934099,0.040851,1000000
Energía- BOTTOM 90%,64.228947,65,317741,523096,159163,0.317741,0.523096,0.159163,1000000
Municipios del Libertador General Bernardo OHiggins- TOP 10%,174.862738,222,0,1000000,0,0.0,1.0,0.0,1000000
Municipios del Libertador General Bernardo OHiggins- BOTTOM 90%,864.062585,1328,0,1000000,0,0.0,1.0,0.0,1000000
Municipios de Aysen del General Carlos Ibáñez del Campo- TOP 10%,131.424552,140,42595,936918,20487,0.042595,0.936918,0.020487,1000000
Municipios de Aysen del General Carlos Ibáñez del Campo- BOTTOM 90%,339.448928,349,166185,808567,25248,0.166185,0.808567,0.025248,1000000
Trabajo y Previsión Social- TOP 10%,222.277353,260,0,999999,1,0.0,0.999999,1e-06,1000000
Trabajo y Previsión Social- BOTTOM 90%,362.112896,384,15295,980541,4164,0.015295,0.980541,0.004164,1000000
Salud- TOP 10%,1475.467715,1787,0,1000000,0,0.0,1.0,0.0,1000000
Salud- BOTTOM 90%,3658.683454,4459,0,1000000,0,0.0,1.0,0.0,1000000
Municipios de Atacama- TOP 10%,52.166104,57,11156,962926,25918,0.011156,0.962926,0.025918,1000000
Municipios de Atacama- BOTTOM 90%,421.806997,502,0,1000000,0,0.0,1.0,0.0,1000000
Educación- TOP 10%,375.398351,436,0,1000000,0,0.0,1.0,0.0,1000000
Educación- BOTTOM 90%,1705.072646,1724,241013,747687,11300,0.241013,0.747687,0.0113,1000000
Justicia- TOP 10%,172.137884,216,0,1000000,0,0.0,1.0,0.0,1000000
Justicia- BOTTOM 90%,200.521306,213,28454,960477,11069,0.028454,0.960477,0.011069,1000000
Desarrollo Social- TOP 10%,140.701947,164,0,1000000,0,0.0,1.0,0.0,1000000
Desarrollo Social- BOTTOM 90%,77.421227,83,28950,940597,30453,0.02895,0.940597,0.030453,1000000
Defensa Nacional- TOP 10%,281.466313,326,0,1000000,0,0.0,1.0,0.0,1000000
Defensa Nacional- BOTTOM 90%,567.877367,579,202398,776891,20711,0.202398,0.776891,0.020711,1000000
Municipios de La Araucanía- TOP 10%,200.45505,201,438245,499314,62441,0.438245,0.499314,0.062441,1000000
Municipios de La Araucanía- BOTTOM 90%,1378.32305,1604,0,1000000,0,0.0,1.0,0.0,1000000
Vivienda y Urbanismo- TOP 10%,157.771585,177,64,999852,84,6.4e-05,0.999852,8.4e-05,1000000
Vivienda y Urbanismo- BOTTOM 90%,234.764661,252,8712,987422,3866,0.008712,0.987422,0.003866,1000000
Municipios de Los Ríos- TOP 10%,113.146295,114,377365,525698,96937,0.377365,0.525698,0.096937,1000000
Municipios de Los Ríos- BOTTOM 90%,736.601223,908,0,1000000,0,0.0,1.0,0.0,1000000
Municipios de Antofagasta- TOP 10%,38.65352,39,341732,433642,224626,0.341732,0.433642,0.224626,1000000
Municipios de Antofagasta- BOTTOM 90%,246.969998,251,293433,663988,42579,0.293433,0.663988,0.042579,1000000
Deporte- TOP 10%,59.107842,65,2418,988193,9389,0.002418,0.988193,0.009389,1000000
Deporte- BOTTOM 90%,93.492687,102,5783,986774,7443,0.005783,0.986774,0.007443,1000000
Municipios de Valparaíso- TOP 10%,289.894894,348,0,1000000,0,0.0,1.0,0.0,1000000
Municipios de Valparaíso- BOTTOM 90%,1393.302527,1708,0,1000000,0,0.0,1.0,0.0,1000000
Hacienda- TOP 10%,278.493089,337,0,1000000,0,0.0,1.0,0.0,1000000
Hacienda- BOTTOM 90%,497.892994,605,0,1000000,0,0.0,1.0,0.0,1000000
Municipios de Tarapacá- TOP 10%,24.996307,25,361119,265927,372954,0.361119,0.265927,0.372954,1000000
Municipios de Tarapacá- BOTTOM 90%,179.208909,185,154053,803667,42280,0.154053,0.803667,0.04228,1000000
Municipios de R. Metropolitana de Santiago- TOP 10%,682.269809,856,0,1000000,0,0.0,1.0,0.0,1000000
Municipios de R. Metropolitana de Santiago- BOTTOM 90%,2948.971747,3079,311,999663,26,0.000311,0.999663,2.6e-05,1000000
Municipios de Coquimbo- TOP 10%,126.696152,142,3764,993755,2481,0.003764,0.993755,0.002481,1000000
Municipios de Coquimbo- BOTTOM 90%,814.274237,995,0,1000000,0,0.0,1.0,0.0,1000000
Economía Fomento y Turismo- TOP 10%,239.396172,258,5861,991596,2543,0.005861,0.991596,0.002543,1000000
Economía Fomento y Turismo- BOTTOM 90%,227.319054,185,1000000,0,0,1.0,0.0,0.0,1000000
Corporaciones Municipales- TOP 10%,534.686577,649,0,1000000,0,0.0,1.0,0.0,1000000
Corporaciones Municipales- BOTTOM 90%,2688.48653,3127,0,1000000,0,0.0,1.0,0.0,1000000
Municipios del Maule- TOP 10%,207.871179,249,0,1000000,0,0.0,1.0,0.0,1000000
Municipios del Maule- BOTTOM 90%,1008.759851,1475,0,1000000,0,0.0,1.0,0.0,1000000
Municipios de Magallanes y de la Antártica Chilena- TOP 10%,85.147043,91,53948,910776,35276,0.053948,0.910776,0.035276,1000000
Municipios de Magallanes y de la Antártica Chilena- BOTTOM 90%,235.097261,239,308175,650936,40889,0.308175,0.650936,0.040889,1000000
Consejo Defensa del Estado- TOP 10%,97.276979,103,36130,931320,32550,0.03613,0.93132,0.03255,1000000
Consejo Defensa del Estado- BOTTOM 90%,27.769032,29,0,713297,286703,0.0,0.713297,0.286703,1000000
Interior y Seguridad Pública- TOP 10%,163.839764,207,0,1000000,0,0.0,1.0,0.0,1000000
Interior y Seguridad Pública- BOTTOM 90%,219.308436,288,0,1000000,0,0.0,1.0,0.0,1000000
Culturas y las Artes- TOP 10%,70.75872,45,1000000,0,0,1.0,0.0,0.0,1000000
Culturas y las Artes- BOTTOM 90%,113.553374,59,1000000,0,0,1.0,0.0,0.0,1000000
Obras Públicas- TOP 10%,105.935269,112,49518,916884,33598,0.049518,0.916884,0.033598,1000000
