,Avergare Distint Names,Current Distint Names,# MonteCarlo's Distint Names > Current Distint Names,# MonteCarlo's Distint Names < Current Distint Names,# MonteCarlo's Distint Names = Current Distint Names,P(MonteCarlo's Distint Names > Current Distint Names),P(MonteCarlo's Distint Names < Current Distint Names),P(MonteCarlo's Distint Names = Current Distint Names),Iterations
Municipalidad de Llanquihue- TOP 10%,6.907,7,0,892,9108,0.0,0.0892,0.9108,10000
Municipalidad de Llanquihue- BOTTOM 90%,130.1893,120,9668,206,126,0.9668,0.0206,0.0126,10000
Hospital Roberto del Río- TOP 10%,74.9473,69,9645,169,186,0.9645,0.0169,0.0186,10000
Hospital Roberto del Río- BOTTOM 90%,242.1032,232,8979,798,223,0.8979,0.0798,0.0223,10000
Servicio de Salud Metropolitano Sur Oriente- TOP 10%,54.3115,55,3011,5134,1855,0.3011,0.5134,0.1855,10000
Servicio de Salud Metropolitano Sur Oriente- BOTTOM 90%,376.6737,293,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Pitrufquén- TOP 10%,5.9615,6,0,382,9618,0.0,0.0382,0.9618,10000
Municipalidad de Pitrufquén- BOTTOM 90%,159.1151,164,1501,7970,529,0.1501,0.797,0.0529,10000
Corporación Municipal de Pozo Almonte- TOP 10%,3.9816,4,0,184,9816,0.0,0.0184,0.9816,10000
Corporación Municipal de Pozo Almonte- BOTTOM 90%,144.4202,139,8334,1228,438,0.8334,0.1228,0.0438,10000
Municipalidad de Concepción- TOP 10%,64.2763,69,179,9480,341,0.0179,0.948,0.0341,10000
Municipalidad de Concepción- BOTTOM 90%,368.3335,406,0,10000,0,0.0,1.0,0.0,10000
Hospital Gustavo Fricke- TOP 10%,122.5241,116,9002,683,315,0.9002,0.0683,0.0315,10000
Hospital Gustavo Fricke- BOTTOM 90%,352.4125,350,5753,3859,388,0.5753,0.3859,0.0388,10000
Municipalidad de Cabildo- TOP 10%,7.9052,8,0,904,9096,0.0,0.0904,0.9096,10000
Municipalidad de Cabildo- BOTTOM 90%,173.1618,153,9992,4,4,0.9992,0.0004,0.0004,10000
Corporación Municipal de Panguipulli- TOP 10%,8.8919,9,0,1030,8970,0.0,0.103,0.897,10000
Corporación Municipal de Panguipulli- BOTTOM 90%,240.775,218,9987,10,3,0.9987,0.001,0.0003,10000
Dirección del Trabajo (DT)- TOP 10%,129.0519,137,369,9424,207,0.0369,0.9424,0.0207,10000
Dirección del Trabajo (DT)- BOTTOM 90%,248.609,240,8512,1217,271,0.8512,0.1217,0.0271,10000
Municipalidad de Villarrica- TOP 10%,27.9718,29,0,6509,3491,0.0,0.6509,0.3491,10000
Municipalidad de Villarrica- BOTTOM 90%,312.1496,322,1194,8570,236,0.1194,0.857,0.0236,10000
Municipalidad de Doñihue- TOP 10%,15.4195,16,0,4455,5545,0.0,0.4455,0.5545,10000
Municipalidad de Doñihue- BOTTOM 90%,151.7248,160,725,9018,257,0.0725,0.9018,0.0257,10000
Servicio de Salud Aysén- TOP 10%,71.7074,68,8432,979,589,0.8432,0.0979,0.0589,10000
Servicio de Salud Aysén- BOTTOM 90%,353.5679,352,5443,4196,361,0.5443,0.4196,0.0361,10000
Hospital San Borja Arriarán- TOP 10%,146.0894,138,9311,485,204,0.9311,0.0485,0.0204,10000
